"NAAM","population"
"Aalst",87332
"Aalter",29182
"Aarschot",30183
"Aartselaar",14427
"Affligem",13351
"Alken",11626
"Alveringem",4993
"Antwerpen",529247
"Anzegem",14781
"Ardooie",9077
"Arendonk",13290
"As",8236
"Asse",33505
"Assenede",14296
"Avelgem",10206
"Baarle-Hertog",2865
"Balen",22813
"Beernem",15817
"Beerse",18128
"Beersel",25343
"Begijnendijk",10256
"Bekkevoort",6332
"Beringen",46598
"Berlaar",11656
"Berlare",15093
"Bertem",10141
"Bever",2178
"Beveren (Sint-Niklaas)",49047
"Bierbeek",10162
"Bilzen",32477
"Blankenberge",20463
"Bocholt",13144
"Boechout",13372
"Bonheiden",15078
"Boom",18555
"Boortmeerbeek",12629
"Borgloon",11010
"Bornem",21353
"Borsbeek",10949
"Boutersem",8242
"Brakel",14803
"Brasschaat",38223
"Brecht",29454
"Bredene",18141
"Bree",16169
"Brugge",118656
"Buggenhout",14662
"Damme",11019
"De Haan",12700
"De Panne",11147
"De Pinte",10881
"Deerlijk",12078
"Deinze",43580
"Denderleeuw",20551
"Dendermonde",45870
"Dentergem",8612
"Dessel",9605
"Destelbergen",18528
"Diepenbeek",19090
"Diest",24234
"Diksmuide",16843
"Dilbeek",43423
"Dilsen-Stokkem",20693
"Drogenbos",5653
"Duffel",17664
"Edegem",22261
"Eeklo",21285
"Erpe-Mere",20146
"Essen",19162
"Evergem",35628
"Galmaarden",8836
"Gavere",12903
"Geel",40709
"Geetbets",6136
"Genk",66447
"Gent",263927
"Geraardsbergen",33649
"Gingelom",8389
"Gistel",12166
"Glabbeek",5321
"Gooik",9189
"Grimbergen",37972
"Grobbendonk",11172
"Haacht",14854
"Haaltert",18582
"Halen",9485
"Halle (Halle-Vilvoorde)",40182
"Ham",10977
"Hamme (Dendermonde)",24946
"Hamont-Achel",14299
"Harelbeke",28502
"Hasselt",78714
"Hechtel-Eksel",12510
"Heers",7337
"Heist-op-den-Berg",42950
"Hemiksem",11634
"Herent",21920
"Herentals",28272
"Herenthout",9109
"Herk-de-Stad",12650
"Herne",6699
"Herselt",14521
"Herstappe",79
"Herzele",18187
"Heusden-Zolder",33892
"Heuvelland",7926
"Hoegaarden",6863
"Hoeilaart",11408
"Hoeselt",9730
"Holsbeek",10062
"Hooglede",9973
"Hoogstraten",21424
"Horebeke",2022
"Houthalen-Helchteren",30550
"Houthulst",10110
"Hove (Antwerpen)",8277
"Huldenberg",9943
"Hulshout",10471
"Ichtegem",14041
"Ieper",34995
"Ingelmunster",11131
"Izegem",28322
"Jabbeke",13868
"Kalmthout",18872
"Kampenhout",12129
"Kapelle-op-den-Bos",9501
"Kapellen (Antwerpen)",26981
"Kaprijke",6436
"Kasterlee",18882
"Keerbergen",12954
"Kinrooi",12206
"Kluisbergen",6577
"Knokke-Heist",33089
"Koekelare",8760
"Koksijde",21869
"Kontich",21203
"Kortemark",12693
"Kortenaken",7892
"Kortenberg",20289
"Kortessem",8437
"Kortrijk",77109
"Kraainem",13853
"Kruibeke",16846
"Kruisem",15743
"Kuurne",13676
"Laakdal",16186
"Laarne",12361
"Lanaken",25884
"Landen",16096
"Langemark-Poelkapelle",7825
"Lebbeke",19538
"Lede",18866
"Ledegem",9687
"Lendelede",5787
"Lennik",9096
"Leopoldsburg",15850
"Leuven",102275
"Lichtervelde",8943
"Liedekerke",13397
"Lier",36646
"Lierde",6579
"Lievegem",26310
"Lille",16564
"Linkebeek",4696
"Lint",8641
"Linter",7271
"Lo-Reninge",3290
"Lochristi",22610
"Lokeren",42044
"Lommel",34245
"Londerzeel",18861
"Lubbeek",14556
"Lummen",14978
"Maarkedal",6338
"Maaseik",25310
"Maasmechelen",38933
"Machelen (Halle-Vilvoorde)",15605
"Maldegem",23958
"Malle",15602
"Mechelen",86921
"Meerhout",10324
"Meise",19627
"Melle",11811
"Menen",33540
"Merchtem",16766
"Merelbeke",24756
"Merksplas",8588
"Mesen",1047
"Meulebeke",10833
"Middelkerke",19578
"Moerbeke (Gent)",6570
"Mol",37022
"Moorslede",11442
"Mortsel",26157
"Nazareth",11702
"Niel",10546
"Nieuwerkerken (Hasselt)",6998
"Nieuwpoort",11636
"Nijlen",22936
"Ninove",39251
"Olen",12560
"Oostende",71647
"Oosterzele",13689
"Oostkamp",23805
"Oostrozebeke",7956
"Opwijk",14746
"Oud-Heverlee",11088
"Oud-Turnhout",13977
"Oudenaarde",31612
"Oudenburg",9507
"Oudsbergen",23615
"Overijse",25497
"Peer",16298
"Pelt",33076
"Pepingen",4537
"Pittem",6717
"Poperinge",19717
"Putte",17927
"Puurs-Sint-Amands",26142
"Ranst",19187
"Ravels",15023
"Retie",11508
"Riemst",16759
"Rijkevorsel",12178
"Roeselare",63478
"Ronse",26374
"Roosdaal",11665
"Rotselaar",17024
"Ruiselede",5368
"Rumst",15050
"Schelle",8529
"Scherpenheuvel-Zichem",23078
"Schilde",19873
"Schoten",34316
"Sint-Genesius-Rode",18519
"Sint-Gillis-Waas",19499
"Sint-Katelijne-Waver",21026
"Sint-Laureins",6818
"Sint-Lievens-Houtem",10400
"Sint-Martens-Latem",8365
"Sint-Niklaas (Sint-Niklaas)",78531
"Sint-Pieters-Leeuw",34621
"Sint-Truiden",40672
"Spiere-Helkijn",2071
"Stabroek",18789
"Staden",11518
"Steenokkerzeel",12279
"Stekene",18687
"Temse",30196
"Ternat",16012
"Tervuren",22708
"Tessenderlo",18727
"Tielt-Winge",10783
"Tielt (Tielt)",20603
"Tienen",35293
"Tongeren",31142
"Torhout",20467
"Tremelo",14917
"Turnhout",45280
"Veurne",12094
"Vilvoorde",45495
"Vleteren",3653
"Voeren",4175
"Vorselaar",7936
"Vosselaar",11343
"Waasmunster",10933
"Wachtebeke",7809
"Waregem",38350
"Wellen",7354
"Wemmel",16814
"Wervik",18909
"Westerlo",25119
"Wetteren",26021
"Wevelgem",31579
"Wezembeek-Oppem",14269
"Wichelen",11649
"Wielsbeke",9833
"Wijnegem",9983
"Willebroek",26826
"Wingene",14429
"Wommelgem",12943
"Wortegem-Petegem",6395
"Wuustwezel",21213
"Zandhoven",13071
"Zaventem",34782
"Zedelgem",22852
"Zele",21338
"Zelzate",12899
"Zemst",23260
"Zoersel",22065
"Zonhoven",21327
"Zonnebeke",12498
"Zottegem",26686
"Zoutleeuw",8575
"Zuienkerke",2709
"Zulte",15791
"Zutendaal",7282
"Zwalm",8167
"Zwevegem",24814
"Zwijndrecht",19154
